alpha,L_formula,L_numeric,C_numeric,abs_error_L
-0.56,0.78,0.78,0.0,0.0
-0.55,0.775,0.775,0.0,0.0
-0.54,0.77,0.77,0.0,0.0
-0.53,0.765,0.765,0.0,0.0
-0.52,0.76,0.76,0.0,0.0
-0.51,0.755,0.755,0.0,0.0
-0.5,0.75,0.75,0.0,0.0
-0.49,0.745,0.745,0.0,0.0
-0.48,0.74,0.74,0.0,0.0
-0.47,0.735,0.735,0.0,0.0
-0.45999999999999996,0.73,0.73,0.0,0.0
-0.44999999999999996,0.725,0.725,0.0,0.0
-0.43999999999999995,0.72,0.72,0.0,0.0
-0.42999999999999994,0.715,0.715,0.0,0.0
-0.42000000000000004,0.71,0.71,0.0,0.0
-0.41000000000000003,0.7050000000000001,0.7050000000000001,0.0,0.0
-0.4,0.7,0.7,0.0,0.0
-0.39,0.6950000000000001,0.6950000000000001,0.0,0.0
-0.38,0.69,0.69,0.0,0.0
-0.37,0.685,0.685,0.0,0.0
-0.36,0.6799999999999999,0.6799999999999999,0.0,0.0
-0.35,0.675,0.675,0.0,0.0
-0.33999999999999997,0.6699999999999999,0.6699999999999999,0.0,0.0
-0.32999999999999996,0.665,0.665,0.0,0.0
-0.31999999999999995,0.6599999999999999,0.6599999999999999,0.0,0.0
-0.30999999999999994,0.655,0.655,0.0,0.0
-0.29999999999999993,0.6499999999999999,0.6499999999999999,0.0,0.0
-0.29000000000000004,0.645,0.645,0.0,0.0
-0.28,0.64,0.64,0.0,0.0
-0.27,0.635,0.635,0.0,0.0
-0.26,0.63,0.63,0.0,0.0
-0.25,0.625,0.625,0.0,0.0
-0.24,0.62,0.62,0.0,0.0
-0.22999999999999998,0.615,0.615,0.0,0.0
-0.21999999999999997,0.61,0.61,0.0,0.0
-0.20999999999999996,0.605,0.605,0.0,0.0
-0.19999999999999996,0.6,0.6,0.0,0.0
-0.18999999999999995,0.595,0.595,0.0,0.0
-0.17999999999999994,0.59,0.59,0.0,0.0
-0.16999999999999993,0.585,0.585,0.0,0.0
-0.16000000000000003,0.5800000000000001,0.5800000000000001,0.0,0.0
-0.15000000000000002,0.575,0.575,0.0,0.0
-0.14,0.5700000000000001,0.5700000000000001,0.0,0.0
-0.13,0.565,0.565,0.0,0.0
-0.12,0.56,0.56,0.0,0.0
-0.10999999999999999,0.5549999999999999,0.5549999999999999,0.0,0.0
-0.09999999999999998,0.55,0.55,0.0,0.0
-0.08999999999999997,0.5449999999999999,0.5449999999999999,0.0,0.0
-0.07999999999999996,0.54,0.54,0.0,0.0
-0.06999999999999995,0.5349999999999999,0.5349999999999999,0.0,0.0
-0.05999999999999994,0.53,0.53,0.0,0.0
-0.04999999999999993,0.5249999999999999,0.5249999999999999,0.0,0.0
-0.040000000000000036,0.52,0.52,0.0,0.0
-0.030000000000000027,0.515,0.515,0.0,0.0
-0.020000000000000018,0.51,0.51,0.0,0.0
-0.010000000000000009,0.505,0.505,0.0,0.0
0.0,0.5,0.5,0.0,0.0
0.010000000000000009,0.495,0.495,0.0,0.0
0.020000000000000018,0.49,0.49,0.0,0.0
0.030000000000000027,0.485,0.485,0.0,0.0
0.040000000000000036,0.48,0.48,0.0,0.0
0.050000000000000044,0.475,0.475,0.0,0.0
0.06000000000000005,0.47,0.47,0.0,0.0
0.07000000000000006,0.46499999999999997,0.46499999999999997,0.0,0.0
0.08000000000000007,0.45999999999999996,0.45999999999999996,0.0,0.0
0.09000000000000008,0.45499999999999996,0.45499999999999996,0.0,0.0
0.10000000000000009,0.44999999999999996,0.44999999999999996,0.0,0.0
0.1100000000000001,0.44499999999999995,0.44499999999999995,0.0,0.0
0.1200000000000001,0.43999999999999995,0.43999999999999995,0.0,0.0
0.13000000000000012,0.43499999999999994,0.43499999999999994,0.0,0.0
0.14000000000000012,0.42999999999999994,0.42999999999999994,0.0,0.0
0.15000000000000013,0.42499999999999993,0.42499999999999993,0.0,0.0
0.15999999999999992,0.42000000000000004,0.42000000000000004,0.0,0.0
0.16999999999999993,0.41500000000000004,0.41500000000000004,0.0,0.0
0.17999999999999994,0.41000000000000003,0.41000000000000003,0.0,0.0
0.18999999999999995,0.405,0.405,0.0,0.0
0.19999999999999996,0.4,0.4,0.0,0.0
0.20999999999999996,0.395,0.395,0.0,0.0
0.21999999999999997,0.39,0.39,0.0,0.0
0.22999999999999998,0.385,0.385,0.0,0.0
0.24,0.38,0.38,0.0,0.0
0.25,0.375,0.375,0.0,0.0
0.26,0.37,0.37,0.0,0.0
0.27,0.365,0.365,0.0,0.0
0.28,0.36,0.36,0.0,0.0
0.29000000000000004,0.355,0.355,0.0,0.0
0.30000000000000004,0.35,0.35,0.0,0.0
0.31000000000000005,0.345,0.345,0.0,0.0
0.32000000000000006,0.33999999999999997,0.33999999999999997,0.0,0.0
0.33000000000000007,0.33499999999999996,0.33499999999999996,0.0,0.0
0.3400000000000001,0.32999999999999996,0.32999999999999996,0.0,0.0
0.3500000000000001,0.32499999999999996,0.32499999999999996,0.0,0.0
0.3600000000000001,0.31999999999999995,0.31999999999999995,0.0,0.0
0.3700000000000001,0.31499999999999995,0.31499999999999995,0.0,0.0
0.3800000000000001,0.30999999999999994,0.30999999999999994,0.0,0.0
0.3900000000000001,0.30499999999999994,0.30499999999999994,0.0,0.0
0.40000000000000013,0.29999999999999993,0.29999999999999993,0.0,0.0
0.4099999999999999,0.29500000000000004,0.29500000000000004,0.0,0.0
0.41999999999999993,0.29000000000000004,0.29000000000000004,0.0,0.0
0.42999999999999994,0.28500000000000003,0.28500000000000003,0.0,0.0
0.43999999999999995,0.28,0.28,0.0,0.0
0.44999999999999996,0.275,0.275,0.0,0.0
0.45999999999999996,0.27,0.27,0.0,0.0
0.47,0.265,0.265,0.0,0.0
0.48,0.26,0.26,0.0,0.0
0.49,0.255,0.255,0.0,0.0
0.5,0.25,0.25,0.0,0.0
0.51,0.245,0.245,0.0,0.0
0.52,0.24,0.24,0.0,0.0
0.53,0.235,0.235,0.0,0.0
0.54,0.22999999999999998,0.22999999999999998,0.0,0.0
0.55,0.22499999999999998,0.22499999999999998,0.0,0.0
0.56,0.21999999999999997,0.21999999999999997,0.0,0.0
0.5700000000000001,0.21499999999999997,0.21499999999999997,0.0,0.0
0.5800000000000001,0.20999999999999996,0.20999999999999996,0.0,0.0
0.5900000000000001,0.20499999999999996,0.20499999999999996,0.0,0.0
0.6000000000000001,0.19999999999999996,0.19999999999999996,0.0,0.0
0.6100000000000001,0.19499999999999995,0.19499999999999995,0.0,0.0
0.6200000000000001,0.18999999999999995,0.18999999999999995,0.0,0.0
0.6300000000000001,0.18499999999999994,0.18499999999999994,0.0,0.0
0.6400000000000001,0.17999999999999994,0.17999999999999994,0.0,0.0
0.6500000000000001,0.17499999999999993,0.17499999999999993,0.0,0.0
0.6600000000000001,0.16999999999999993,0.16999999999999993,0.0,0.0
0.6699999999999999,0.16500000000000004,0.16500000000000004,0.0,0.0
0.6799999999999999,0.16000000000000003,0.16000000000000003,0.0,0.0
0.69,0.15500000000000003,0.15500000000000003,0.0,0.0
0.7,0.15000000000000002,0.15000000000000002,0.0,0.0
0.71,0.14500000000000002,0.14500000000000002,0.0,0.0
0.72,0.14,0.14,0.0,0.0
0.73,0.135,0.135,0.0,0.0
0.74,0.13,0.13,0.0,0.0
0.75,0.125,0.125,0.0,0.0
0.76,0.12,0.12,0.0,0.0
0.77,0.11499999999999999,0.11499999999999999,0.0,0.0
0.78,0.10999999999999999,0.10999999999999999,0.0,0.0
0.79,0.10499999999999998,0.10499999999999998,0.0,0.0
0.8,0.09999999999999998,0.09999999999999998,0.0,0.0
0.81,0.09499999999999997,0.09499999999999997,0.0,0.0
0.8200000000000001,0.08999999999999997,0.08999999999999997,0.0,0.0
0.8300000000000001,0.08499999999999996,0.08499999999999996,0.0,0.0
0.8400000000000001,0.07999999999999996,0.07999999999999996,0.0,0.0
0.8500000000000001,0.07499999999999996,0.07499999999999996,0.0,0.0
0.8600000000000001,0.06999999999999995,0.06999999999999995,0.0,0.0
0.8700000000000001,0.06499999999999995,0.06499999999999995,0.0,0.0
0.8800000000000001,0.05999999999999994,0.05999999999999994,0.0,0.0
0.8900000000000001,0.05499999999999994,0.05499999999999994,0.0,0.0
0.9000000000000001,0.04999999999999993,0.04999999999999993,0.0,0.0
0.9100000000000001,0.04499999999999993,0.04499999999999993,0.0,0.0
0.9199999999999999,0.040000000000000036,0.040000000000000036,0.0,0.0
0.9299999999999999,0.03500000000000003,0.03500000000000003,0.0,0.0
0.94,0.030000000000000027,0.030000000000000027,0.0,0.0
0.95,0.025000000000000022,0.025000000000000022,0.0,0.0
0.96,0.020000000000000018,0.020000000000000018,0.0,0.0
0.97,0.015000000000000013,0.015000000000000013,0.0,0.0
0.98,0.010000000000000009,0.010000000000000009,0.0,0.0
0.99,0.0050000000000000044,0.0050000000000000044,0.0,0.0
1.0,0.0,0.0,0.0,0.0
